market_name,market_id,market_address,is_shutdown,deployment_deprecated,deployment_disabled,currency,window_start_inclusive_utc,window_end_inclusive_utc,first_volume_hour_utc,last_volume_hour_utc,volume_30d_ovl,avg_24h_bucket_volume_ovl,median_24h_bucket_volume_ovl,max_24h_bucket_volume_ovl,max_24h_bucket_start_utc,max_24h_bucket_end_utc,active_24h_buckets,active_hours,hour_rows,share_30d_volume_pct,current_total_volume_ovl,number_of_builds_lifetime,number_of_unwinds_lifetime,number_of_liquidates_lifetime,explorer_url
Will Argentina Win the 2026 FIFA World Cup,Will%20Argentina%20Win%20the%202026%20FIFA%20World%20Cup,0x8179aeff0b1e3207ac862a27f78d00dbe5e9d114,false,false,false,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-23T00:00:00Z,2026-05-31T05:00:00Z,49217.758164,1640.591938,0.000000,47717.758164,2026-05-22T13:00:00Z,2026-05-23T12:00:00Z,2,2,2,0.0077,49225.974105,5,0,1,https://bscscan.com/address/0x8179aeff0b1e3207ac862a27f78d00dbe5e9d114
GOLD / USD,GOLD%20%2F%20USD,0x6c110d58dee4f0229c305c4858ab50fd203b8da5,false,true,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-09T07:00:00Z,2026-05-19T09:00:00Z,42511.343717,1417.044790,0.000000,15760.107193,2026-05-08T13:00:00Z,2026-05-09T12:00:00Z,3,5,5,0.0066,146286.765201,45,43,8,https://bscscan.com/address/0x6c110d58dee4f0229c305c4858ab50fd203b8da5
Will Spain Win the 2026 FIFA World Cup,Will%20Spain%20Win%20the%202026%20FIFA%20World%20Cup,0x6962bc1876d10268aa2af209d1c05c4a92bb78bd,false,false,false,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-23T00:00:00Z,2026-05-23T00:00:00Z,13625.856260,454.195208,0.000000,13625.856260,2026-05-22T13:00:00Z,2026-05-23T12:00:00Z,1,1,1,0.0021,13634.055787,3,0,1,https://bscscan.com/address/0x6962bc1876d10268aa2af209d1c05c4a92bb78bd
AI Index,AI%20Index,0xe2584d1a23cb44fc7929e1723a8079dcd86b6971,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-09T08:00:00Z,2026-05-09T22:00:00Z,7903.563625,263.452120,0.000000,4000.000000,2026-05-08T13:00:00Z,2026-05-09T12:00:00Z,2,2,2,0.0012,169813.043600,15,13,2,https://bscscan.com/address/0xe2584d1a23cb44fc7929e1723a8079dcd86b6971
Binance Alpha Index,Binance%20Alpha%20Index,0x90c00f8e627644b6b4ccae4019efcdc9d531e2aa,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-09T08:00:00Z,2026-05-09T22:00:00Z,7888.023745,262.934124,0.000000,4000.000000,2026-05-08T13:00:00Z,2026-05-09T12:00:00Z,2,2,2,0.0012,197905.203729,17,11,5,https://bscscan.com/address/0x90c00f8e627644b6b4ccae4019efcdc9d531e2aa
Elon Musk Mood Index,Elon%20Musk%20Mood%20Index,0xb95668b06f7d6777ce1b9eb43c78ab6524f56b89,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-11T09:00:00Z,2026-05-11T09:00:00Z,733.556293,24.451876,0.000000,733.556293,2026-05-10T13:00:00Z,2026-05-11T12:00:00Z,1,1,1,0.0001,40799.093284,17,12,1,https://bscscan.com/address/0xb95668b06f7d6777ce1b9eb43c78ab6524f56b89
SOL Index,SOL%20Index,0x6832fc384c891f0c18d770aa20cb4140e836be2a,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-18T18:00:00Z,2026-05-24T03:00:00Z,275.714952,9.190498,0.000000,275.000000,2026-05-23T13:00:00Z,2026-05-24T12:00:00Z,2,2,2,0.0000,638012.319770,30,23,6,https://bscscan.com/address/0x6832fc384c891f0c18d770aa20cb4140e836be2a
Counter-Strike 2 Skins,Counter-Strike%202%20Skins,0x5ec437121a47b86b40fdf1ab4ef95806e60a9247,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-25T03:00:00Z,2026-05-25T04:00:00Z,83.697854,2.789928,0.000000,83.697854,2026-05-24T13:00:00Z,2026-05-25T12:00:00Z,1,2,2,0.0000,4483693.564835,1111,1081,38,https://bscscan.com/address/0x5ec437121a47b86b40fdf1ab4ef95806e60a9247
SOL/USD,SOL%2FUSD,0xff0befd39b7ea4b4b069658f6585f8ef0287fad8,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-06-01T08:00:00Z,2026-06-01T08:00:00Z,69.274960,2.309165,0.000000,69.274960,2026-05-31T13:00:00Z,2026-06-01T12:00:00Z,1,1,1,0.0000,2345951.255407,106,74,31,https://bscscan.com/address/0xff0befd39b7ea4b4b069658f6585f8ef0287fad8
EUL / USD,EUL%20%2F%20USD,0x128cd7f76ea19888daf4a528011516aee15b15f4,false,false,true,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,2026-05-18T15:00:00Z,2026-05-18T15:00:00Z,26.552334,0.885077,0.000000,26.552334,2026-05-18T13:00:00Z,2026-05-19T12:00:00Z,1,1,1,0.0000,26.552334,2,0,0,https://bscscan.com/address/0x128cd7f76ea19888daf4a528011516aee15b15f4
